product_name,reviewer,review_date,review_text
Melrose Ave Women s Faux Leather Crossband Slide Sandals,HilC,3/3/2022,"These sandals look just like the picture! Great for the hotter months. A very slight padding on the bottom. I do have a higher than average arch so the top of my foot rubbed onto the straps a bit too much for my liking, but I'm thinking if you don't have a high arch the rubbing might not happen to you. Still love them though!"
Melrose Ave Women s Faux Leather Crossband Slide Sandals,Jojo,3/3/2022,"These slides feel great on and they look nice, I really love the green color that goes with pretty much any color. They're not heavy but feel well made. My mom tried them on and loved the feel of them, she has bunions and these felt really nice on her."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,MaryjoB02,3/3/2022,"Fit is great: comfortable, no catching of toes, padded footbed, stays on without problems when you walk. I like the flat heel, and there is plenty of traction on the sole while still remaining a dressy shoe. It does look and feel like leather. Olive is a unique and pretty color."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,Karenc,3/3/2022,"These sandals are so pretty, so comfortable and fit me perfectly. They're true to size and not too slim. The olive green color is really nice and makes the sandals more versatile so you can wear them with shorts, a dress or even jeans! Really nice."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,Cocochies,3/6/2022,"Melrose Ave Vegan Leather Crossband Slide Sandal is a simple and stylish summer sandal. The faux leather crossband is soft which makes it very comfortable to wear. The olive color is very nice and it will go well with a lot of outfits. I've only use it in the house so far but hopefully it won't give me blisters if I start to use it for long walks. I love it that the crossband design is wide enough to hide my bunions which makes it even more comfortable to wear. The size was right on, it is also very lightweight, good for regular and wide feet."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,PingPong,3/4/2022,"I got the green leather sandals and I must say they are pretty cute! I am a true size 6 and it fits well- although for some it might feel like it runs smaller since there's no ""spare"" width nor length. Try sizing half size up if you need a comfy lax fit"
Melrose Ave Women s Faux Leather Crossband Slide Sandals,Nikkib714,3/16/2022,"I really like the Melrose Ave Vegan Leather Crossband Slide Sandals. They are fun and really cute for spring and summer. The green almost sage type color is my favorite part about them! You don't tend to find them that color all the time and It's one of my favorite colors. They are very lightweight and you could wear them while dressed up or just for casual wear also. The only thing I wish is that it was made for wider feet because they are a little tight on mine but they also, after wearing them in, may change. I'm very pleased with them and definitely would recommend them."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,RJR435,3/14/2022,"I love the olive color of these slides and living in Florida, I live in these kinds of shoes with maxi dresses, Capri pants, etc... These sandals are very pretty but unfortunately run a little wide and my feet kept feeling like my ankles were rolling. I usually wear a medium width and that's what these are but I think they would be better suited for a wider width foot. When I first got them I did notice the slightest bit of cushion but after one wearing, I can honestly say that I have other flats and slides that offer more cushioning that lasted. These just felt very flat after only wearing for a few short hours and became very uncomfortable so for looks I give them a 5 but for comfort, a 3 for rating and I would recommend. I think it's rel..."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,BargainShoper,3/7/2022,"Cute sandals. I like the olive green color and it's sure to blend with anything in my wardrobe. The crisscross design is stylish and it was easy to slide my feet into these sandal. There is some cushioning; but not enough to comfortably support my feet walking for a long time, or in a rough road. The sandal fits me true to it's size."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,leeny,3/11/2022,"The good size first. The sandal looks exactly as in the picture. Very beautiful grass Green color. The style looks classic on my feet. But to my disappointment, The sizing Is too small. I can't fit my feet in because They're also very narrow. The sole Is thin and hard to walk around."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,WildMonkeyMom,3/7/2022,"I got these to have a pair of flat, non-boots to wear on the rare occasions I have to dress in more than jeans and a t-shirt. I am disabled and I have severe skin nerve issues that make any synthetic material feel like a billion tiny pokers are biting my skin. I don't know exactly what vegan leather is made of, but it bites my skin, too. Finding nice looking clothing and shoes with nerve issues, at least like mine, can be, well, nerve racking. I was hopeful these could work for me, because they are cute, but no luck."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,SherBear,3/6/2022,"Not only are researchers sandals so cute, they are actually very comfortable too! I especially love the soft feel of the vegan leather, does not feel like plastic or hard material. They are conformable right away and did not hurt my feet at all. I especially love the green color that I got, it can be a neutral color and matches almost everything! They fit true to size as well!"
Melrose Ave Women s Faux Leather Crossband Slide Sandals,Edjmed,3/7/2022,"I think these are so cute. The sole is more comfortable than I expected. But the straps are tight on my foot which has a very high instep. If this is a problem for you, these might not be a good choice, but for everyone else I recommend these sandals."
Melrose Ave Women s Faux Leather Crossband Slide Sandals,Mommyof2,3/7/2022,Very cute slippers. They're true to size and color is exactly the same s the picture. Very comfortable as well. The color is very unique and happy to have bought it.
Melrose Ave Women s Faux Leather Crossband Slide Sandals,Oreosmom,3/18/2022,I love these shoes. It goes great with all sorts of outfit. Especially during the spring and warm weather. The leather feels great against my feet and is very comfortable. It is very modern and stylish
Cosco 6 Foot Centerfold Folding Table Black,patsina,5/13/2020,"I FINALLY have enough room for all my stuff with writing space on both sides.  I'm being careful because the maximum weight load is 100 lbs.  The CPU is the heaviest item, about 15 lbs., and I placed it directly above the left legs. I would recommend this table to family and friends."
Cosco 6 Foot Centerfold Folding Table Black,Shirley,8/21/2020,"This table has exceeded my expectations in versatility and strength.

I was skeptical at first but it has held steady (for 7 mos now) 3 monitors, one 17"" screen dell laptop, a desk pad, a phone and my basic desk supplies!! I was looking for a decent, affordable table to serve as a temp home desk since I'm working from home due to COVID and this table has delivered.

It doesn't fit my decor but it's certainly meeting the need and it'll be versatile in the future. I highly recommend it."
Cosco 6 Foot Centerfold Folding Table Black,bp717,9/28/2021,This is the 2 nd one that I've bought it's a really nice and sturdy table and the price is really great. If your looking for a 6' table this is a good one to buy
Cosco 6 Foot Centerfold Folding Table Black,GrannyNanny,8/7/2016,Durable at a fair price.  I'm using mine on the patio for my succulent planting.  Brought all my work up to table level making it perfect for propagating and decorating.
Cosco 6 Foot Centerfold Folding Table Black,Tbarbaris,10/18/2016,Used this table for my first vendor event and it unfolds and folds up very nicely and very easy to set up! Highly recommend and love the handle to carry it! Only weighs 28lbs so not too heavy!
Cosco 6 Foot Centerfold Folding Table Black,HillcrestCreations,7/5/2016,The table is easy to open and extend the legs.  It was a bit difficult for me to then stand it on its legs.  Moving it before setting up is a bit of a problem.  It is heavy for me but then I'm 67 and disabled.  I do like how the table looks.  It worked great at a recent craft fair.
Cosco 6 Foot Centerfold Folding Table Black,sandi,4/16/2020,"This is my second table like this. The reason I like it is due to the large size, ease of setting it up, the clips to secure it closed and the handle to help with carrying it around or moving it.  Wouldnâ€™t get any other kind."
Cosco 6 Foot Centerfold Folding Table Black,Jessica,8/18/2020,I ordered this table for a birthday party I was having and when i opened it up it had a dent on the table. I just wasnt happy about the inconvenience of having to take it back and get a new one. Other than that it seems like a sturdy table. I havent used it yet.
Cosco 6 Foot Centerfold Folding Table Black,dennise,5/25/2021,This purchase was good but however when I received it there was damage at the middle of folding area and it had a few scratches on the table itself. Looked used but could just be a result of poor packaging and/or shipping handle. Besides the damage it served its purpose
Cosco 6 Foot Centerfold Folding Table Black,Mallory,7/6/2021,"Amazing tables but the shipping damages them!  I ordered 4 of these tables to the tune of $200 and every one came in damaged beyond use.  I'm talking bent up sides, bent middles and gouged areas from being thrown around in transport.  Some literally look like someone took a hammer to them!  Now I've got to deal with trying to get a refund and find new tables that I need in less than 2 weeks. So frustrating!"
Cosco 6 Foot Centerfold Folding Table Black,MobileInstructor,4/20/2021,"I purchased this table to add to my home office setup! I really like the portability of this product, size, durability, and color. The color coordinates well with my computer equipment and accessories.  After reading some reviews and viewing some pictures, I was absolutely convinced this item was for me!"
Cosco 6 Foot Centerfold Folding Table Black,Ziggy1,7/22/2021,I really like this table.  It is well made and sturdy.  It has a handle for carrying after folding in half.  I am currently moving and needed a table surface to hold my boxes.  I will take this table with me to my new apartment and use it for larger gatherings with a nice table cloth.  Sweet deal.
Cosco 6 Foot Centerfold Folding Table Black,Lexi,11/30/2021,I just ordered a few tables and needed another one. Just opened it up and there was a dent. Table is still functional just annoying!
Cosco 6 Foot Centerfold Folding Table Black,David,5/12/2020,Quick easy shipping. Setup easy. Much higher quality that the other Walmart brand. Using it as a temporary home office desk while in quarantine.
Cosco 6 Foot Centerfold Folding Table Black,Liz,5/10/2020,This table is nice and Sturdy for this great price ! Very is to set up and store away !! Plan on buying more !
Cosco 6 Foot Centerfold Folding Table Black,Whitlie,6/7/2021,"Feels very cheap made. Table came damaged on one of the ends where table folds. The clip on side of table that helps keep table together when folded, looks very worn out. It's also not lined up correctly."
Cosco 6 Foot Centerfold Folding Table Black,MD,5/19/2021,Sturdy! I bought one just to check the quality. And my order just came today and very surprised about it. I decided to order me another 2 table right before making this review. Very satisfied customer. I recommend this product!
Cosco 6 Foot Centerfold Folding Table Black,Madison,6/2/2021,"SO EXCITED to receive this table! It is a major staple in our household. I have found that this table ALWAYS comes in handy! We love using it for tailgating, yard parties, extra storage, etc!!!"
Cosco 6 Foot Centerfold Folding Table Black,Brittney,6/18/2021,This folding table is exactly what I needed for extra table space when we have gatherings. It isn't very heavy and folds in half so it doesn't take up much space when storing. The table top material is plastic making it easy to clean!
Cosco 6 Foot Centerfold Folding Table Black,Liana,9/14/2020,"This table is perfect in creating a work station if you have to work from home.  I got the color black, which really blends in with overall look of the home as well as the electronics."
Cosco 6 Foot Centerfold Folding Table Black,Wanda,5/6/2020,When I receive my table it's have a damage in the left side of the table in the joint. Have a numb. I was very disappointed with that I take a picture that night when I receive the order for a future reference. When you buy something you expect to receive in great condition cause it is new article. I buy it because I need it and I want it. And I waiting long time to got the money to buy it so I expected it for a new great condition Cosco table. Very disappointed!!
Cosco 6 Foot Centerfold Folding Table Black,Rosek,4/7/2020,Worked great for my pop-up home office. Itâ€™s solid and stable with lots of area
Cosco 6 Foot Centerfold Folding Table Black,pam,4/9/2020,Not the sturdiest but great for price.  Need a cheap work from home desk.
Cosco 6 Foot Centerfold Folding Table Black,Lenny,8/13/2021,A detail description about the table is unwarranted...  its nice and just what I was looking for.
Cosco 6 Foot Centerfold Folding Table Black,Shawn,6/11/2021,I needed tables that were easy to move several times a day. These are lightweight and easy enough to move from place to place by one person.
Cosco 6 Foot Centerfold Folding Table Black,Chr1scv,4/17/2021,I love these tables. Very convenient for setup and sturdy. I have used them for virtual schooling and birthday parties.
Cosco 6 Foot Centerfold Folding Table Black,Amy,5/5/2020,Love it. Perfect for my needs. Using it as a crafting table and I have plenty of room. Its very sturdy too. I was worried about that.
Cosco 6 Foot Centerfold Folding Table Black,Tanya,8/10/2020,"Item arrived damaged at the fold, buckled a significant amount. I ordered two of these tables and it was clear that one was already used just by the lack of packaging such as no plastic wrapping and no foam spacers. I will be contacting them for a replacement. Also this one is uneven at the fold all the way across. I needed this table now and at this point it seems like I will have to send it back and await a replacement to be shipped out."
Cosco 6 Foot Centerfold Folding Table Black,Hunter,7/11/2020,"Item arrived partially damaged, poorly put together and the table top was not formed correctly. Customer service was a joke and took 3 times trying to return to finally get them to send me a label. Now I've wasted my time and still don't have a table to use. Time to go to Amazon."
Cosco 6 Foot Centerfold Folding Table Black,Survy,10/22/2020,"I am using this table as my office desk at home. I have been working from home for the last 7 months using my dining table. I decided a needed a change, so I ordered this table. It was delivered next day and I am super happy.  It fit my 2 monitors, laptop and office supplies. I love the black color."
Cosco 6 Foot Centerfold Folding Table Black,Sue,10/15/2020,"My table was delivered today. The entire corner is caved in. The table was filthy and scuffed. It looks used. The actual design is nice and it folds up for easy storage. It's also fairly lightweight. My advice would be to buy one in person so you can check it out first. I ordered online, and had mine delivered. I will probably put a cloth over it anyway when I use it.  But I'm disappointed it is in such bad shape."
Cosco 6 Foot Centerfold Folding Table Black,Amit,1/27/2021,"I was looking for a 30""x60"" table for setting up a workplace at a reasonable cost. None of the standard wooden computer tables were fitting the size requirements. So after searching around I found this and ordered it after looking at some reviews. The table came in folded and it easy to carry (though heavy). I have put my 16 inch laptop on it, a screen, a keyboard, mouse and some books. Even now I have a lot of space to keep my writing pad, coffee mug, and more. I don't have to worry about desk space any more. I would recommend this if you have space in your room and want a comfortable work setup."
Cosco 6 Foot Centerfold Folding Table Black,Mollie,6/13/2021,Classic folding table. Sturdy and fresh just what I needed!
Cosco 6 Foot Centerfold Folding Table Black,Decarlos,4/8/2021,It's working pretty good very strong and stable table
Cosco 6 Foot Centerfold Folding Table Black,Kalynda,4/24/2021,The table would've been great had it not come damaged today. I will be returning it tomorrow.
Cosco 6 Foot Centerfold Folding Table Black,Deee,5/19/2021,It came out damaged in the middle.
Cosco 6 Foot Centerfold Folding Table Black,HYPPOLITE,5/31/2021,Received damaged and used.
Cosco 6 Foot Centerfold Folding Table Black,Sharon,4/26/2020,Perfect! Very sturdy
Cosco 6 Foot Centerfold Folding Table Black,ethel,8/4/2020,I got a black folding table and love it...
Cosco 6 Foot Centerfold Folding Table Black,leah,9/6/2020,It's a good size .We have it set up for the kids school like books and for their laptops . Like the durability and easy to put away .
Cosco 6 Foot Centerfold Folding Table Black,WMshopper55,2/9/2021,"Pretty good light duty table that I added for extra desk space in my office.  It seems to be a little ""high centered"" , see the photos.  This is not a big concern to me but if it is to you, i would opt for a higher duty table"
Cosco 6 Foot Centerfold Folding Table Black,Linda,11/24/2020,"The table is good, very sturdy.  What I was disappointed in was the shipping.  All the shipper did was put a piece of tape around the table and a shipping label.  the table looked like it had been dragged across the bed of the truck."
Cosco 6 Foot Centerfold Folding Table Black,Naman,2/22/2022,"The table is very sturdy. It is not level, and goes like 1 or 2 degrees higher along the folding line in the middle. We use it as a dinner table, serves the purpose well. 
The QC looks kind of shabby. There are minor scratches and kinks all over it. It doesn't look used, just manufacturing errors."
Cosco 6 Foot Centerfold Folding Table Black,trisha,5/8/2021,Slashed on table top
Cosco 6 Foot Centerfold Folding Table Black,Sharon,5/14/2021,Came dented.
Cosco 6 Foot Centerfold Folding Table Black,dansdiz,4/18/2017,"4/18/17  I ordered two of these tables as I set up at flea markets most of the year. They were delivered to me today . I highly recommend these tables..not super heavy for an old gal like me, very well constructed, wider than I expected , has a carrying handle which is a big plus, opens and closes easily.   A fitted twin bed sheet fits just great over the table top.   You will not regret purchasing these Cosco tables. * If the pictures come out ok  they show with a twin sheet covering the top."
Cosco 6 Foot Centerfold Folding Table Black,VARYA,8/31/2017,"Product delivered to me first time was having lot of dents. So walmart team place replacement order and provided second table after 1 week. Second table is also having 1 small dent. But i am okay as the pickup and drop service takes so much time that i can bear with this table. I checked same product in walmart store, it was wrapped in a cling film but the table i received it was not. But at the end cost matters. I dont have vehicle therefore can't do anything."
Cosco 6 Foot Centerfold Folding Table Black,S,3/29/2019,Picked up 2 of these tables today. Both damaged with big dents in the center part of the table. Scratches all over with dents in them. When you buy new tables you expect to get new undamaged products. Very upset by this. Will be returning and looking else where for better quality.
